num_people_enrolled,total_class_size,class_number,term,professor
44,99,"
CSCI005  HM-01
",FALL 204,"
                                Dodds, Zachary B.                                                             
                            "
39,99,"
CSCI005  HM-02
",FALL 204,"
                                Dodds, Zachary B.                                                             
                            "
39,99,"
CSCI005  HM-03
",FALL 204,"
                                Thom, Belinda                                                                 
                            "
41,99,"
CSCI005  HM-04
",FALL 204,"
                                Thom, Belinda                                                                 
                            "
163,400,"
CSCI005 RHM-01
",FALL 204,"
                                Dodds, Zachary B.                                                             
                            "
7,16,"
CSCI050  CM-01
",FALL 204,"
                                Pinter-Lucke, James                                                           
                            "
14,30,"
CSCI051  PO-01
",FALL 204,"
                                Chen, Tzu-Yi                                                                  
                            "
13,30,"
CSCI051 LPO-01
",FALL 204,"
                                Chen, Tzu-Yi                                                                  
                            "
10,30,"
CSCI052  PO-01
",FALL 204,"
                                Bull, Everett L.,, Jr.                                                        
                            "
36,42,"
CSCI060  HM-01
",FALL 204,"
                                Libeskind-Hadas, Ran                                                          
                            "
35,42,"
CSCI060  HM-02
",FALL 204,"
                                Libeskind-Hadas, Ran                                                          
                            "
17,20,"
CSCI070  HM-01
",FALL 204,"
                                Stone, Christopher                                                            
                            "
11,20,"
CSCI070  HM-02
",FALL 204,"
                                Stone, Christopher                                                            
                            "
18,44,"
CSCI081  PO-01
",FALL 204,"
                                Aaron, Eric                                                                   
                            "
17,20,"
CSCI105  JT-01
",FALL 204,"
                                Erlinger, Michael A.                                                          
                            "
11,20,"
CSCI105  JT-02
",FALL 204,"
                                Erlinger, Michael A.                                                          
                            "
19,20,"
CSCI105 BJT-01
",FALL 204,"
                                Erlinger, Michael A.                                                          
                            "
9,20,"
CSCI105 BJT-02
",FALL 204,"
                                Erlinger, Michael A.                                                          
                            "
18,18,"
CSCI121  HM-01
",FALL 204,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
13,20,"
CSCI125  HM-01
",FALL 204,"
                                Erlinger, Michael A.                                                          
                            "
11,20,"
CSCI125 BHM-01
",FALL 204,"
                                Erlinger, Michael A.                                                          
                            "
9,20,"
CSCI131  HM-01
",FALL 204,"
                                O'Neill, Melissa E.                                                           
                            "
14,20,"
CSCI131  HM-02
",FALL 204,"
                                O'Neill, Melissa E.                                                           
                            "
17,35,"
CSCI131 BHM-01
",FALL 204,"
                                O'Neill, Melissa E.                                                           
                            "
6,35,"
CSCI131 BHM-02
",FALL 204,"
                                O'Neill, Melissa E.                                                           
                            "
15,18,"
CSCI140  HM-01
",FALL 204,"
                                Thom, Belinda                                                                 
                            "
16,24,"
CSCI151  PO-01
",FALL 204,"
                                Marshall, James B.                                                            
                            "
8,24,"
CSCI152  HM-01
",FALL 204,"
                                Keller, Robert M.                                                             
                            "
12,20,"
CSCI155  HM-01
",FALL 204,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
11,20,"
CSCI155 BHM-01
",FALL 204,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
0,24,"
CSCI181  HM-01
",FALL 204,"
                                Keller, Robert M.                                                             
                            "
22,99,"
CSCI183  HM-01
",FALL 204,"
                                Keller, Robert M.                                                             
                            "
0,99,"
CSCI185  HM-01
",FALL 204,"
                                Staff                                                                         
                            "
3,99,"
CSCI185  HM-02
",FALL 204,"
                                Dodds, Zachary B.                                                             
                            "
1,35,"
CSCI185  HM-04
",FALL 204,"
                                Thom, Belinda                                                                 
                            "
2,35,"
CSCI185  HM-06
",FALL 204,"
                                Erlinger, Michael A.                                                          
                            "
2,35,"
CSCI185  HM-07
",FALL 204,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
20,99,"
CSCI189  HM-01
",FALL 204,"
                                Dodds, Zachary B.                                                             
                            "
6,10,"
CSCI190  PO-01
",FALL 204,"
                                Aaron, Eric                                                                   
                            "
0,99,"
CSCI191  HM-01
",FALL 204,"
                                Staff                                                                         
                            "
2,35,"
CSCI191  HM-05
",FALL 204,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
36,99,"
CSCI193  HM-01
",FALL 204,"
                                Thom, Belinda                                                                 
                            "
27,99,"
CSCI195  HM-01
",FALL 204,"
                                Thom, Belinda                                                                 
                            "
1,99,"
CSCI195  HM-02
",FALL 204,"
                                Thom, Belinda                                                                 
                            "
0,99,"
CSCI197  HM-01
",FALL 204,"
                                Staff                                                                         
                            "
10,24,"
PHYS108  JS-01
",FALL 204,"
                                Higdon, James C.                                                              
                            "
41,45,"
CSCI005  HM-01
",FALL 205,"
                                Thom, Belinda                                                                 
                            "
43,45,"
CSCI005  HM-02
",FALL 205,"
                                Thom, Belinda                                                                 
                            "
40,45,"
CSCI005  HM-03
",FALL 205,"
                                Thom, Belinda                                                                 
                            "
42,45,"
CSCI005  HM-04
",FALL 205,"
                                Thom, Belinda                                                                 
                            "
13,18,"
CSCI050  CM-01
",FALL 205,"
                                Lee, Arthur H.                                                                
                            "
3,30,"
CSCI051  PO-01
",FALL 205,"
                                Bruce, Kim Barry                                                              
                            "
10,30,"
CSCI052  PO-01
",FALL 205,"
                                Bull, Everett L.,, Jr.                                                        
                            "
28,42,"
CSCI060  HM-01
",FALL 205,"
                                Libeskind-Hadas, Ran                                                          
                            "
24,42,"
CSCI060  HM-02
",FALL 205,"
                                Libeskind-Hadas, Ran                                                          
                            "
6,20,"
CSCI070  HM-01
",FALL 205,"
                                Stone, Christopher                                                            
                            "
13,20,"
CSCI070  HM-02
",FALL 205,"
                                Stone, Christopher                                                            
                            "
8,44,"
CSCI081  PO-01
",FALL 205,"
                                Vanderwaart, C. Joseph                                                        
                            "
4,19,"
CSCI105  CM-01
",FALL 205,"
                                Lee, Arthur H.                                                                
                            "
6,20,"
CSCI105  HM-01
",FALL 205,"
                                Kuenning, Geoffrey H.                                                         
                            "
19,20,"
CSCI105  HM-02
",FALL 205,"
                                Kuenning, Geoffrey H.                                                         
                            "
4,20,"
CSCI105  HM-03
",FALL 205,"
                                Kuenning, Geoffrey H.                                                         
                            "
9,20,"
CSCI105  HM-04
",FALL 205,"
                                Kuenning, Geoffrey H.                                                         
                            "
13,18,"
CSCI121  HM-01
",FALL 205,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
13,20,"
CSCI125  HM-01
",FALL 205,"
                                Erlinger, Michael A.                                                          
                            "
9,20,"
CSCI131  HM-01
",FALL 205,"
                                O'Neill, Melissa E.                                                           
                            "
12,20,"
CSCI131  HM-02
",FALL 205,"
                                O'Neill, Melissa E.                                                           
                            "
20,36,"
CSCI140  PO-01
",FALL 205,"
                                Vanderwaart, C. Joseph                                                        
                            "
23,24,"
CSCI151  PO-01
",FALL 205,"
                                Marshall, James B.                                                            
                            "
9,15,"
CSCI153  HM-01
",FALL 205,"
                                Alvarado, Christine J.                                                        
                            "
21,20,"
CSCI155  HM-01
",FALL 205,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
25,66,"
CSCI183  HM-01
",FALL 205,"
                                Kuenning, Geoffrey H.                                                         
                            "
0,99,"
CSCI185  HM-01
",FALL 205,"
                                Staff                                                                         
                            "
1,10,"
CSCI185  HM-03
",FALL 205,"
                                Kuenning, Geoffrey H.                                                         
                            "
1,10,"
CSCI185  HM-04
",FALL 205,"
                                Thom, Belinda                                                                 
                            "
4,15,"
CSCI185  HM-07
",FALL 205,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
0,10,"
CSCI185  HM-08
",FALL 205,"
                                Libeskind-Hadas, Ran                                                          
                            "
1,35,"
CSCI185  HM-09
",FALL 205,"
                                O'Neill, Melissa E.                                                           
                            "
17,24,"
CSCI189  HM-01
",FALL 205,"
                                Stone, Christopher                                                            
                            "
8,10,"
CSCI190  PO-01
",FALL 205,"
                                Bruce, Kim Barry                                                              
                            "
0,35,"
CSCI191  HM-01
",FALL 205,"
                                Staff                                                                         
                            "
0,35,"
CSCI191  HM-02
",FALL 205,"
                                Staff                                                                         
                            "
0,35,"
CSCI191  HM-03
",FALL 205,"
                                Staff                                                                         
                            "
0,10,"
CSCI191  HM-05
",FALL 205,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
2,15,"
CSCI191  PO-01
",FALL 205,"
                                Marshall, James B.                                                            
                            "
25,99,"
CSCI193  HM-01
",FALL 205,"
                                Thom, Belinda                                                                 
                            "
31,99,"
CSCI195  HM-01
",FALL 205,"
                                Thom, Belinda                                                                 
                            "
0,99,"
CSCI197  HM-01
",FALL 205,"
                                Staff                                                                         
                            "
0,99,"
CSCI197  HM-02
",FALL 205,"
                                Staff                                                                         
                            "
0,99,"
CSCI197  HM-03
",FALL 205,"
                                Staff                                                                         
                            "
3,35,"
CSCI197  HM-04
",FALL 205,"
                                Thom, Belinda                                                                 
                            "
1,1,"
CSCI199  CM-01
",FALL 205,"
                                Lee, Arthur H.                                                                
                            "
14,24,"
PHYS108  JS-01
",FALL 205,"
                                Higdon, James C.                                                              
                            "
69,95,"
CSCI005  HM-01
",FALL 207,"
                                Dodds, Zachary B.                                                             
                            "
42,45,"
CSCI005  HM-02
",FALL 207,"
                                Kuenning, Geoffrey H.                                                         
                            "
61,95,"
CSCI005  HM-03
",FALL 207,"
                                Dodds, Zachary B.                                                             
                            "
34,45,"
CSCI005  HM-04
",FALL 207,"
                                Kuenning, Geoffrey H.                                                         
                            "
60,60,"
CSCI005L HM-01
",FALL 207,"
                                Kuenning, Geoffrey H.                                                         
                            "
53,60,"
CSCI005L HM-02
",FALL 207,"
                                Dodds, Zachary B.                                                             
                            "
50,60,"
CSCI005L HM-03
",FALL 207,"
                                Kuenning, Geoffrey H.                                                         
                            "
42,60,"
CSCI005L HM-04
",FALL 207,"
                                Kuenning, Geoffrey H.                                                         
                            "
7,19,"
CSCI051  CM-01
",FALL 207,"
                                Pinter-Lucke, James                                                           
                            "
12,40,"
CSCI051  PO-01
",FALL 207,"
                                Bruce, Kim Barry                                                              
                            "
12,40,"
CSCI051 LPO-01
",FALL 207,"
                                Bruce, Kim Barry                                                              
                            "
22,30,"
CSCI052  PO-01
",FALL 207,"
                                Sood, Sara Owsley                                                             
                            "
27,30,"
CSCI060  HM-01
",FALL 207,"
                                Alvarado, Christine J.                                                        
                            "
7,19,"
CSCI062  CM-01
",FALL 207,"
                                Lee, Arthur H.                                                                
                            "
23,19,"
CSCI070  HM-01
",FALL 207,"
                                O'Neill, Melissa E.                                                           
                            "
10,19,"
CSCI081  HM-01
",FALL 207,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
15,18,"
CSCI105  HM-01
",FALL 207,"
                                Erlinger, Michael A.                                                          
                            "
17,25,"
CSCI121  PO-01
",FALL 207,"
                                Kampe, Mark A.                                                                
                            "
10,10,"
CSCI124  HM-01
",FALL 207,"
                                Alvarado, Christine J.                                                        
                            "
8,14,"
CSCI125  HM-01
",FALL 207,"
                                Erlinger, Michael A.                                                          
                            "
23,19,"
CSCI131  HM-01
",FALL 207,"
                                Stone, Christopher                                                            
                            "
6,14,"
CSCI132  HM-01
",FALL 207,"
                                Stone, Christopher                                                            
                            "
9,12,"
CSCI134  HM-01
",FALL 207,"
                                O'Neill, Melissa E.                                                           
                            "
8,19,"
CSCI135  CM-01
",FALL 207,"
                                Lee, Arthur H.                                                                
                            "
8,15,"
CSCI140  HM-01
",FALL 207,"
                                Pippenger, Nicholas J.                                                        
                            "
17,36,"
CSCI151  PO-01
",FALL 207,"
                                Sood, Sara Owsley                                                             
                            "
6,14,"
CSCI152  HM-01
",FALL 207,"
                                Keller, Robert M.                                                             
                            "
12,18,"
CSCI155  HM-01
",FALL 207,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
1,5,"
CSCI181  HM-01
",FALL 207,"
                                Erlinger, Michael A.                                                          
                            "
21,66,"
CSCI183  HM-01
",FALL 207,"
                                Keller, Robert M.                                                             
                            "
1,99,"
CSCI185  HM-01
",FALL 207,"
                                O'Neill, Melissa E.                                                           
                            "
2,10,"
CSCI185  HM-04
",FALL 207,"
                                Alvarado, Christine J.                                                        
                            "
22,24,"
CSCI189  HM-01
",FALL 207,"
                                Dodds, Zachary B.                                                             
                            "
10,20,"
CSCI190  PO-01
",FALL 207,"
                                Bruce, Kim Barry                                                              
                            "
0,35,"
CSCI191  HM-01
",FALL 207,"
                                Dodds, Zachary B.                                                             
                            "
0,35,"
CSCI191  HM-02
",FALL 207,"
                                Dodds, Zachary B.                                                             
                            "
1,35,"
CSCI191  HM-03
",FALL 207,"
                                Dodds, Zachary B.                                                             
                            "
3,35,"
CSCI191  HM-07
",FALL 207,"
                                Dodds, Zachary B.                                                             
                            "
1,10,"
CSCI191  PO-01
",FALL 207,"
                                Bruce, Kim Barry                                                              
                            "
0,15,"
CSCI192A PO-01
",FALL 207,"
                                Bruce, Kim Barry                                                              
                            "
31,99,"
CSCI193  HM-01
",FALL 207,"
                                O'Neill, Melissa E.                                                           
                            "
29,99,"
CSCI195  HM-01
",FALL 207,"
                                O'Neill, Melissa E.                                                           
                            "
0,99,"
CSCI197  HM-01
",FALL 207,"
                                Staff                                                                         
                            "
0,99,"
CSCI197  HM-02
",FALL 207,"
                                Staff                                                                         
                            "
0,99,"
CSCI197  HM-03
",FALL 207,"
                                Staff                                                                         
                            "
9,24,"
PHYS108  JS-01
",FALL 207,"
                                Higdon, James C.                                                              
                            "
67,95,"
CSCI005  HM-01
",FALL 208,"
                                Libeskind-Hadas, Ran                                                          
                            "
58,80,"
CSCI005  HM-02
",FALL 208,"
                                Alvarado, Christine J.                                                        
                            "
62,95,"
CSCI005  HM-03
",FALL 208,"
                                Alvarado, Christine J.                                                        
                            "
51,60,"
CSCI005L HM-01
",FALL 208,"
                                Alvarado, Christine J.                                                        
                            "
42,60,"
CSCI005L HM-02
",FALL 208,"
                                Alvarado, Christine J.                                                        
                            "
48,60,"
CSCI005L HM-03
",FALL 208,"
                                Kuenning, Geoffrey H.                                                         
                            "
45,60,"
CSCI005L HM-04
",FALL 208,"
                                Kuenning, Geoffrey H.                                                         
                            "
22,25,"
CSCI051  CM-01
",FALL 208,"
                                Stough, Joshua                                                                
                            "
16,40,"
CSCI051  PO-01
",FALL 208,"
                                Chen, Tzu-Yi                                                                  
                            "
16,40,"
CSCI051 LPO-01
",FALL 208,"
                                Chen, Tzu-Yi                                                                  
                            "
21,30,"
CSCI052  PO-01
",FALL 208,"
                                Sood, Sara Owsley                                                             
                            "
31,45,"
CSCI060  HM-01
",FALL 208,"
                                Dodds, Zachary B.                                                             
                            "
11,19,"
CSCI062  CM-01
",FALL 208,"
                                Stough, Joshua                                                                
                            "
33,36,"
CSCI065  HM-01
",FALL 208,"
                                Keller, Robert M.                                                             
                            "
12,17,"
CSCI070  HM-01
",FALL 208,"
                                O'Neill, Melissa E.                                                           
                            "
14,17,"
CSCI070  HM-02
",FALL 208,"
                                Stone, Christopher                                                            
                            "
23,40,"
CSCI081  PO-01
",FALL 208,"
                                Bull, Everett L.,, Jr.                                                        
                            "
22,20,"
CSCI105  HM-01
",FALL 208,"
                                Kuenning, Geoffrey H.                                                         
                            "
16,20,"
CSCI121  HM-01
",FALL 208,"
                                Sweedyk, Elizabeth Ann                                                        
                            "
