num_people_enrolled,total_class_size,class_number,term,professor
500,26,COMP 110 001,FALL2004,"Warren, Joe D."
500,20,COMP 200 001,FALL2004,"Cooper, Keith D."
500,43,COMP 210 001,FALL2004,"Nguyen, Dung X.Wong, Stephen B."
500,11,COMP 212 001,FALL2004,"Nguyen, Dung X.Wong, Stephen B."
500,0,COMP 290 001,FALL2004,
500,33,COMP 311 001,FALL2004,"Taha, Walid M."
500,32,COMP 320 001,FALL2004,"Greiner, John D."
500,11,COMP 360 001,FALL2004,"Goldman, Ronald N."
500,1,COMP 390 001,FALL2004,
500,23,COMP 412 001,FALL2004,"Kennedy, Kenneth W."
500,9,COMP 425 001,FALL2004,"Rixner, Scott"
500,23,COMP 440 001,FALL2004,"Subramanian, Devika"
500,40,COMP 482 001,FALL2004,"Greiner, John D."
500,1,COMP 485 001,FALL2004,"Mawlawi, Osama"
500,6,COMP 490 001,FALL2004,
500,1,COMP 491 001,FALL2004,
500,0,COMP 517 001,FALL2004,"Taha, Walid M."
500,4,COMP 520 001,FALL2004,"Druschel, Peter"
500,8,COMP 521 001,FALL2004,"Cox, Alan L."
500,1,COMP 523 001,FALL2004,"Mohanram, Kartik"
500,5,COMP 524 001,FALL2004,"Johnson, David B."
500,18,COMP 527 001,FALL2004,"Wallach, Dan S."
500,4,COMP 529 001,FALL2004,"Ng, Tze Sing E."
20,10,COMP 571 001,FALL2004,"Nakhleh, Luay"
500,3,COMP 590 001,FALL2004,
10,0,COMP 602 001,FALL2004,"Merenyi, Erzsebet"
500,8,COMP 607 001,FALL2004,"Vardi, Moshe Y."
500,5,COMP 610 001,FALL2004,"Taha, Walid M."
500,1,COMP 612 001,FALL2004,"Cooper, Keith D."
500,0,COMP 613 001,FALL2004,
20,4,COMP 617 001,FALL2004,"Taha, Walid M."
500,7,COMP 620 001,FALL2004,"Druschel, Peter"
500,0,COMP 640 001,FALL2004,
500,52,COMP 690 001,FALL2004,
500,3,COMP 800 001,FALL2004,
0 (permission required) ,21,COMP 110 001,FALL2005,"Warren, Joe D."
0 (permission required) ,18,COMP 200 001,FALL2005,"Nguyen, Dung X."
47,5,COMP 202 001,FALL2005,"Nguyen, Dung X.Wong, Stephen B."
73,46,COMP 210 001,FALL2005,"Taha, Walid M.Greiner, John D."
0 (permission required) Instructor Permission Required,0,COMP 290 001,FALL2005,
73,22,COMP 311 001,FALL2005,"Cartwright, Robert S."
49,19,COMP 320 001,FALL2005,"Rixner, Scott"
73,7,COMP 360 001,FALL2005,"Goldman, Ronald N."
0 (permission required) Instructor Permission Required,1,COMP 390 001,FALL2005,
45,11,COMP 409 001,FALL2005,"Vardi, Moshe Y."
73,20,COMP 412 001,FALL2005,"Cooper, Keith D."
0 (permission required) ,5,COMP 415 001,FALL2005,"Wong, Stephen B."
73,7,COMP 425 001,FALL2005,"Varman, Peter J."
45,15,COMP 440 001,FALL2005,"Subramanian, Devika"
45,5,COMP 446 001,FALL2005,"Cutler, Scott E."
45,28,COMP 450 001,FALL2005,"Kavraki, Lydia E."
36,27,COMP 482 001,FALL2005,"Greiner, John D."
31,1,COMP 485 001,FALL2005,"Mawlawi, Osama"
0 (permission required) Instructor Permission Required,9,COMP 490 001,FALL2005,
0 (permission required) Instructor Permission Required,0,COMP 491 001,FALL2005,
22,3,COMP 520 001,FALL2005,"Cox, Alan L."
19,0,COMP 523 001,FALL2005,"Mohanram, Kartik"
45,7,COMP 524 001,FALL2005,"Johnson, David B."
50,14,COMP 527 001,FALL2005,"Wallach, Dan S."
19,7,COMP 529 001,FALL2005,"Ng, Tze Sing E."
45,16,COMP 571 001,FALL2005,"Nakhleh, Luay"
0 (permission required) Instructor Permission Required,7,COMP 590 001,FALL2005,
19,6,COMP 607 001,FALL2005,"Vardi, Moshe Y."
22,4,COMP 617 001,FALL2005,"Taha, Walid M."
500,1,COMP 620 001,FALL2005,
500,0,COMP 640 001,FALL2005,
500,48,COMP 690 001,FALL2005,
500,14,COMP 800 001,FALL2005,
25,20,COMP 100 001,FALL2006,"Nguyen, Dung X."
30,15,COMP 110 001,FALL2006,"Warren, Joe D."
20,18,COMP 200 001,FALL2006,"Nguyen, Dung X."
47,3,COMP 202 001,FALL2006,"Nguyen, Dung X.Wong, Stephen B."
50,37,COMP 210 001,FALL2006,"Taha, Walid M."
0 (permission required) ,0,COMP 211 001,FALL2006,
0 (permission required) Instructor Permission Required,0,COMP 290 001,FALL2006,
73,31,COMP 311 001,FALL2006,"Cartwright, Robert S."
49,26,COMP 320 001,FALL2006,"Rixner, Scott"
60,1,COMP 326 001,FALL2006,"Mohanram, Kartik"
30,9,COMP 360 001,FALL2006,"Goldman, Ronald N."
0 (permission required) Instructor Permission Required,1,COMP 390 001,FALL2006,
0 (permission required) ,0,COMP 409 001,FALL2006,
30,13,COMP 410 001,FALL2006,"Wong, Stephen B."
22,11,COMP 412 001,FALL2006,"Cooper, Keith D."
0 (permission required) ,0,COMP 413 001,FALL2006,
25,0,COMP 415 001,FALL2006,
0 (permission required) ,0,COMP 420 001,FALL2006,
40,3,COMP 425 001,FALL2006,"Varman, Peter J."
56,6,COMP 430 001,FALL2006,"Vardi, Moshe Y."
25,6,COMP 435 001,FALL2006,
20,14,COMP 440 001,FALL2006,"Subramanian, Devika"
10,3,COMP 446 001,FALL2006,"Cutler, Scott E."
30,9,COMP 450 001,FALL2006,"Kavraki, Lydia E."
47,29,COMP 482 001,FALL2006,"Greiner, John D."
100,0,COMP 485 001,FALL2006,"Mawlawi, Osama"
0 (permission required) Instructor Permission Required,1,COMP 490 001,FALL2006,
0 (permission required) Instructor Permission Required,5,COMP 491 001,FALL2006,
25,4,COMP 520 001,FALL2006,"Cox, Alan L."
10,6,COMP 522 001,FALL2006,"Mellor-Crummey, John M."
0 (permission required) ,0,COMP 523 001,FALL2006,
25,5,COMP 524 001,FALL2006,"Johnson, David B."
20,14,COMP 527 001,FALL2006,"Wallach, Dan S."
100,4,COMP 529 001,FALL2006,"Ng, Tze Sing E."
10,5,COMP 571 001,FALL2006,"Nakhleh, Luay"
25,0,COMP 584 001,FALL2006,
0 (permission required) Instructor Permission Required,3,COMP 590 001,FALL2006,
20Instructor Permission Required,16,COMP 600 001,FALL2006,
0 (permission required) Instructor Permission Required,3,COMP 607 001,FALL2006,"Vardi, Moshe Y."
10,5,COMP 617 001,FALL2006,"Taha, Walid M."
15Instructor Permission Required,7,COMP 620 001,FALL2006,"Ng, Tze Sing E."
0 (permission required) ,0,COMP 629 001,FALL2006,
0 (permission required) Instructor Permission Required,0,COMP 630 001,FALL2006,
0 (permission required) Instructor Permission Required,0,COMP 640 001,FALL2006,
0 (permission required) Instructor Permission Required,0,COMP 650 001,FALL2006,
0 (permission required) Instructor Permission Required,0,COMP 661 001,FALL2006,
25,0,COMP 685 001,FALL2006,
50,44,COMP 690 001,FALL2006,
20,14,COMP 800 001,FALL2006,
35,27,COMP 100 001,FALL2007,"Nguyen, Dung X."
20,16,COMP 200 001,FALL2007,"Nguyen, Dung X."
20,4,COMP 202 001,FALL2007,"Wong, Stephen B."
50,38,COMP 210 001,FALL2007,"Taha, Walid M."
0 (permission required) ,0,COMP 211 001,FALL2007,
20,8,COMP 260 001,FALL2007,"Warren, Joe D."
0 (permission required) Instructor Permission Required,0,COMP 290 001,FALL2007,
60,44,COMP 301 001,FALL2007,"Vardi, Moshe Y.Ruths, Derek A."
40,18,COMP 311 001,FALL2007,"Cartwright, Robert S."
40,27,COMP 320 001,FALL2007,"Rixner, Scott"
60,1,COMP 326 001,FALL2007,"Mohanram, Kartik"
0 (permission required) Instructor Permission Required,3,COMP 390 001,FALL2007,
20,13,COMP 410 001,FALL2007,"Wong, Stephen B."
