num_people_enrolled,total_class_size,class_number,term,professor
25,12,COMP 110 001,SPRING2005,"Goldman, Ronald N."
600,20,COMP 201 001,SPRING2005,"Wong, Stephen B.Nguyen, Dung X."
500,33,COMP 212 001,SPRING2005,"Cox, Alan L.Nguyen, Dung X."
500,26,COMP 280 001,SPRING2005,"Barland, Ian T."
500,0,COMP 290 001,SPRING2005,
500,53,COMP 300 001,SPRING2005,"Gorry, G A."
500,7,COMP 312 001,SPRING2005,"Cartwright, Robert S."
500,24,COMP 314 001,SPRING2005,"Wallach, Dan S."
500,3,COMP 390 001,SPRING2005,
500,20,COMP 410 001,SPRING2005,"Wong, Stephen B."
500,8,COMP 411 001,SPRING2005,"Taha, Walid M."
500,4,COMP 420 001,SPRING2005,"Druschel, Peter"
500,33,COMP 421 001,SPRING2005,"Johnson, David B."
500,8,COMP 429 001,SPRING2005,"Ng, Tze Sing E."
500,18,COMP 430 001,SPRING2005,"Vardi, Moshe Y."
0 (permission required) ,4,COMP 446 001,SPRING2005,"Cutler, Scott E."
500,7,COMP 460 001,SPRING2005,"Warren, Joe D."
500,7,COMP 470 001,SPRING2005,"Kavraki, Lydia E.Kimmel, MarekSubramanian, DevikaGuerra, Rudy"
500,25,COMP 481 001,SPRING2005,"Nakhleh, Luay"
500,0,COMP 486 001,SPRING2005,"Mawlawi, Osama"
500,10,COMP 490 001,SPRING2005,
500,2,COMP 491 001,SPRING2005,
500,2,COMP 498 001,SPRING2005,"O'Malley, Marcia K."
500,2,COMP 502 001,SPRING2005,"Merenyi, Erzsebet"
500,3,COMP 511 001,SPRING2005,"Taha, Walid M."
500,8,COMP 515 001,SPRING2005,"Kennedy, Kenneth W."
500,1,COMP 525 001,SPRING2005,"Rixner, Scott"
500,10,COMP 528 001,SPRING2005,"Mellor-Crummey, John M."
500,8,COMP 540 001,SPRING2005,"Subramanian, Devika"
500,5,COMP 561 001,SPRING2005,"Warren, Joe D."
500,4,COMP 583 001,SPRING2005,"Varman, Peter J."
500,15,COMP 590 001,SPRING2005,
500,3,COMP 607 001,SPRING2005,
500,4,COMP 610 001,SPRING2005,"Cartwright, Robert S.Taha, Walid M."
20,5,COMP 617 001,SPRING2005,"Taha, Walid M."
500,7,COMP 620 001,SPRING2005,"Druschel, Peter"
500,47,COMP 690 001,SPRING2005,
500,8,COMP 800 001,SPRING2005,
35,35,COMP 110 001,SPRING2006,"Goldman, Ronald N."
50,16,COMP 201 001,SPRING2006,"Wong, Stephen B.Nguyen, Dung X."
50,36,COMP 212 001,SPRING2006,"Cox, Alan L.Nguyen, Dung X."
50,23,COMP 280 001,SPRING2006,"Greiner, John D."
0 (permission required) Instructor Permission Required,1,COMP 290 001,SPRING2006,
60,70,COMP 300 001,SPRING2006,"Gorry, G A."
30,6,COMP 312 001,SPRING2006,"Cartwright, Robert S."
50,27,COMP 314 001,SPRING2006,"Wallach, Dan S."
100,0,COMP 360 001,SPRING2006,"Goldman, Ronald N."
0 (permission required) Instructor Permission Required,1,COMP 390 001,SPRING2006,"Kavraki, Lydia E."
30,7,COMP 410 001,SPRING2006,"Wong, Stephen B."
40,26,COMP 421 001,SPRING2006,"Johnson, David B."
30,11,COMP 422 001,SPRING2006,"Mellor-Crummey, John M."
30,8,COMP 429 001,SPRING2006,"Ng, Tze Sing E."
30,5,COMP 460 001,SPRING2006,"Warren, Joe D."
30,8,COMP 470 001,SPRING2006,"Kavraki, Lydia E.Kimmel, MarekSubramanian, Devika"
50,16,COMP 481 001,SPRING2006,"Nakhleh, Luay"
0 (permission required) ,0,COMP 486 001,SPRING2006,"Mawlawi, Osama"
0 (permission required) Instructor Permission Required,10,COMP 490 001,SPRING2006,
