num_people_enrolled,total_class_size,class_number,term,professor
45,80,CS-100,9 Fall,W. ROOT
9,40,CS-107,9 Fall,I. BAJIC
10,40,CS-107,9 Fall,P. KRAFT
-2,40,CS-107,9 Fall,I. BAJIC
6,40,CS-108,9 Fall,I. BAJIC
-5,40,CS-108,9 Fall,I. BAJIC
6,40,CS-237,9 Fall,L. RIGGINS
43,90,CS-301,9 Fall,K. STEWART
24,60,CS-310,9 Fall,R. EDWARDS
-7,40,CS-320,9 Fall,J. LEWIS
21,60,CS-370,9 Fall,T. XIE
6,40,CS-440,9 Fall,W. ROOT
3,10,CS-490,9 Fall,R. SWINIARSKI
3,10,CS-490,9 Fall,R. SWINIARSKI
4,10,CS-490,9 Fall,R. SWINIARSKI
9,30,CS-505,9 Fall,J. OTTO
28,90,CS-514,9 Fall,C. ECKBERG
13,30,CS-524,9 Fall,J. LEWIS
19,60,CS-530,9 Fall,L. RIGGINS
7,40,CS-532,9 Fall,J. LANE
29,40,CS-534,9 Fall,J. LANE
3,40,CS-541,9 Fall,W. ROOT
18,30,CS-556,9 Fall,M. VUSKOVIC
26,40,CS-558,9 Fall,G. LEONARD
14,60,CS-560,9 Fall,J. DONALD
21,30,CS-562,9 Fall,J. CARROLL
28,60,CS-570,9 Fall,J. CARROLL
6,60,CS-574,9 Fall,P. BARTOLI
18,60,CS-576,9 Fall,M. LI
39,60,CS-580,9 Fall,R. WHITNEY
15,20,CS-581,9 Fall,J. GAWRON
7,40,CS-596,9 Fall,K. STEWART
-14,30,CS-596,9 Fall,L. RIGGINS
13,30,CS-600,9 Fall,F. VALAFAR
-51,80,CS-615,9 Fall,C. ECKBERG
-7,40,CS-635,9 Fall,R. WHITNEY
12,30,CS-652,9 Fall,J. LEWIS
15,30,CS-657,9 Fall,M. TAROKH
17,40,CS-660,9 Fall,W. ROOT
23,30,CS-682,9 Fall,M. ROCH
-3,40,CS-696,9 Fall,T. XIE
18,30,CS-696,9 Fall,R. EDWARDS
8,10,CS-790,9 Fall,L. BECK
16,40,CS-100,9 Spring,W. ROOT
7,72,CS-107,9 Spring,I. BAJIC
3,36,CS-107,9 Spring,I. BAJIC
1,36,CS-107,9 Spring,I. BAJIC
-1,36,CS-108,9 Spring,I. BAJIC
16,36,CS-108,9 Spring,I. BAJIC
21,80,CS-237,9 Spring,L. RIGGINS
-2,100,CS-301,9 Spring,K. STEWART
-11,60,CS-310,9 Spring,L. RIGGINS
4,60,CS-320,9 Spring,P. KRAFT
34,70,CS-370,9 Spring,T. XIE
26,40,CS-440,9 Spring,K. STEWART
0,30,CS-470,9 Spring,J. CARROLL
-2,10,CS-490,9 Spring,K. STEWART
4,12,CS-490,9 Spring,M. TAROKH
0,12,CS-490,9 Spring,R. WHITNEY
9,50,CS-503,9 Spring,R. EDWARDS
36,70,CS-520,9 Spring,R. WHITNEY
18,40,CS-530,9 Spring,L. BECK
-12,60,CS-537,9 Spring,C. ECKBERG
39,60,CS-540,9 Spring,W. ROOT
15,60,CS-550,9 Spring,J. LEWIS
25,40,CS-559,9 Spring,M. TAROKH
2,60,CS-560,9 Spring,M. TAROKH
1,30,CS-560,9 Spring,J. CARROLL
-17,60,CS-561,9 Spring,L. RIGGINS
17,60,CS-570,9 Spring,J. CARROLL
24,40,CS-572,9 Spring,T. XIE
30,40,CS-582,9 Spring,C. KONOPKA
31,40,CS-596,9 Spring,W. ROOT
30,60,CS-620,9 Spring,W. ROOT
43,60,CS-652,9 Spring,J. LEWIS
-15,40,CS-656,9 Spring,M. VUSKOVIC
53,60,CS-660,9 Spring,C. ECKBERG
12,60,CS-662,9 Spring,W. ROOT
12,80,CS-696,9 Spring,J. LEWIS
2,60,CS-696,9 Spring,R. WHITNEY
3,10,CS-790,9 Spring,L. BECK
38,76,CS-100,10 Fall,W. ROOT
2,40,CS-107,10 Fall,I. BAJIC
20,80,CS-107,10 Fall,I. BAJIC
41,80,CS-108,10 Fall,I. BAJIC
-5,40,CS-108,10 Fall,I. BAJIC
5,60,CS-237,10 Fall,L. RIGGINS
8,120,CS-301,10 Fall,K. STEWART
7,60,CS-310,10 Fall,R. EDWARDS
12,60,CS-320,10 Fall,P. KRAFT
19,60,CS-370,10 Fall,T. XIE
9,40,CS-440,10 Fall,W. ROOT
1,10,CS-490,10 Fall,L. BECK
0,10,CS-490,10 Fall,J. LEWIS
1,10,CS-490,10 Fall,J. LEWIS
13,40,CS-496,10 Fall,I. BAJIC
31,90,CS-514,10 Fall,C. ECKBERG
13,50,CS-524,10 Fall,J. LEWIS
20,60,CS-530,10 Fall,L. RIGGINS
16,40,CS-542,10 Fall,W. ROOT
13,40,CS-552,10 Fall,J. LEWIS
12,30,CS-556,10 Fall,M. VUSKOVIC
-6,52,CS-560,10 Fall,J. CARROLL
20,30,CS-562,10 Fall,J. CARROLL
19,60,CS-570,10 Fall,J. CARROLL
28,40,CS-580,10 Fall,R. WHITNEY
11,20,CS-581,10 Fall,R. MALOUF
6,40,CS-583,10 Fall,K. STEWART
-1,50,CS-596,10 Fall,L. RIGGINS
5,30,CS-600,10 Fall,F. VALAFAR
21,100,CS-615,10 Fall,C. ECKBERG
5,50,CS-635,10 Fall,R. WHITNEY
17,30,CS-657,10 Fall,M. TAROKH
24,40,CS-660,10 Fall,M. TAROKH
27,40,CS-664,10 Fall,W. ROOT
35,40,CS-682,10 Fall,M. ROCH
-3,40,CS-696,10 Fall,T. XIE
8,10,CS-790,10 Fall,L. BECK
12,40,CS-100,10 Spring,W. ROOT
4,72,CS-107,10 Spring,I. BAJIC
25,72,CS-107,10 Spring,I. BAJIC
7,36,CS-108,10 Spring,I. BAJIC
3,36,CS-108,10 Spring,I. BAJIC
9,65,CS-237,10 Spring,L. RIGGINS
0,140,CS-301,10 Spring,K. STEWART
-1,80,CS-310,10 Spring,L. RIGGINS
10,60,CS-320,10 Spring,J. DONALD
34,70,CS-370,10 Spring,T. XIE
13,40,CS-440,10 Spring,K. STEWART
2,12,CS-490,10 Spring,K. STEWART
6,12,CS-490,10 Spring,R. SWINIARSKI
9,12,CS-490,10 Spring,R. SWINIARSKI
36,60,CS-520,10 Spring,C. ECKBERG
16,40,CS-530,10 Spring,J. LEWIS
29,60,CS-535,10 Spring,R. WHITNEY
29,60,CS-537,10 Spring,C. ECKBERG
25,40,CS-540,10 Spring,W. ROOT
9,50,CS-550,10 Spring,J. LEWIS
31,40,CS-553,10 Spring,R. SWINIARSKI
28,40,CS-558,10 Spring,R. MALOUF
36,40,CS-559,10 Spring,M. TAROKH
0,60,CS-560,10 Spring,J. CARROLL
26,60,CS-570,10 Spring,J. CARROLL
27,40,CS-572,10 Spring,T. XIE
33,40,CS-582,10 Spring,C. KONOPKA
21,40,CS-596,10 Spring,R. EDWARDS
23,60,CS-620,10 Spring,C. ECKBERG
32,40,CS-650,10 Spring,J. GAWRON
2,40,CS-656,10 Spring,M. VUSKOVIC
32,40,CS-660,10 Spring,M. TAROKH
27,40,CS-662,10 Spring,W. ROOT
20,45,CS-670,10 Spring,M. ROCH
6,10,CS-790,10 Spring,L. BECK
13,50,CS-100,11 Fall,W. ROOT
0,40,CS-107,11 Fall,I. BAJIC
-7,80,CS-107,11 Fall,I. BAJIC
35,80,CS-108,11 Fall,I. BAJIC
-7,40,CS-108,11 Fall,I. BAJIC
9,60,CS-237,11 Fall,L. RIGGINS
-2,140,CS-301,11 Fall,K. STEWART
10,80,CS-310,11 Fall,R. EDWARDS
-6,60,CS-320,11 Fall,L. RIGGINS
12,60,CS-370,11 Fall,T. XIE
14,60,CS-440,11 Fall,W. ROOT
14,30,CS-470,11 Fall,J. CARROLL
1,10,CS-490,11 Fall,K. STEWART
2,10,CS-490,11 Fall,R. SWINIARSKI
6,10,CS-490,11 Fall,R. SWINIARSKI
21,40,CS-496,11 Fall,I. BAJIC
48,90,CS-514,11 Fall,C. ECKBERG
