num_people_enrolled,total_class_size,class_number,term
227,275,COMPSCI C8,2016 Fall
1028,1190,COMPSCI C8,2017 Fall
712,720,COMPSCI C8,2017 Spring
0,0,COMPSCI C8,2018 Spring
1295,1296,COMPSCI C8,2018 Fall
0,0,COMPSCI C8,Spring 2019
1319,1320,COMPSCI C8,2019 Fall
16,120,COMPSCI 9A,2016 Fall
8,150,COMPSCI 9C,2016 Fall
0,0,COMPSCI 9D,2016 Fall
32,150,COMPSCI 9E,2016 Fall
28,150,COMPSCI 9F,2016 Fall
12,150,COMPSCI 9G,2016 Fall
42,200,COMPSCI 9H,2016 Fall
15,120,COMPSCI 9A,2017 Fall
9,150,COMPSCI 9C,2017 Fall
31,150,COMPSCI 9E,2017 Fall
40,150,COMPSCI 9F,2017 Fall
11,150,COMPSCI 9G,2017 Fall
35,200,COMPSCI 9H,2017 Fall
9,10,COMPSCI 9A,2017 Spring
4,5,COMPSCI 9C,2017 Spring
0,49,COMPSCI 9D,2017 Spring
34,10,COMPSCI 9E,2017 Spring
48,10,COMPSCI 9F,2017 Spring
8,5,COMPSCI 9G,2017 Spring
35,10,COMPSCI 9H,2017 Spring
11,11,COMPSCI 9A,2018 Spring
10,11,COMPSCI 9C,2018 Spring
33,36,COMPSCI 9E,2018 Spring
29,38,COMPSCI 9F,2018 Spring
13,12,COMPSCI 9G,2018 Spring
36,40,COMPSCI 9H,2018 Spring
10,150,COMPSCI 9A,2018 Fall
4,150,COMPSCI 9C,2018 Fall
30,150,COMPSCI 9E,2018 Fall
32,150,COMPSCI 9F,2018 Fall
5,150,COMPSCI 9G,2018 Fall
37,200,COMPSCI 9H,2018 Fall
6,80,COMPSCI 9C,Spring 2019
23,80,COMPSCI 9E,Spring 2019
29,80,COMPSCI 9F,Spring 2019
19,80,COMPSCI 9G,Spring 2019
2,40,COMPSCI 9H,Spring 2019
297,350,COMPSCI 10,2016 Fall
262,280,COMPSCI 10,2017 Fall
148,157,COMPSCI 10,2017 Spring
162,175,COMPSCI 10,2018 Spring
240,237,COMPSCI 10,2018 Fall
170,292,COMPSCI 10,Spring 2019
289,353,COMPSCI 10,2019 Fall
4,10,COMPSCI 24,2016 Fall
27,28,COMPSCI 24,2016 Fall
25,28,COMPSCI 24,2016 Fall
6,10,COMPSCI 24,2017 Fall
28,30,COMPSCI 24,2017 Spring
26,30,COMPSCI 24,2017 Spring
4,5,COMPSCI 24,2018 Spring
3,10,COMPSCI 24,2018 Fall
14,23,COMPSCI 24,Spring 2019
20,20,COMPSCI 24,Spring 2019
2,10,COMPSCI 24,Spring 2019
11,12,COMPSCI 24,2019 Fall
6,10,COMPSCI 24,2017 Spring
33,30,COMPSCI 36,2018 Spring
16,30,COMPSCI 36,2018 Fall
28,30,COMPSCI 36,2018 Fall
28,30,COMPSCI 36,2019 Fall
19,30,COMPSCI 36,2019 Fall
17,20,COMPSCI 39,2017 Fall
0,1,COMPSCI 39,2017 Spring
12,20,COMPSCI 39,Spring 2019
10,28,COMPSCI 47A,2016 Fall
10,28,COMPSCI 47B,2016 Fall
1,28,COMPSCI 47C,2016 Fall
2,28,COMPSCI 47A,2017 Fall
16,28,COMPSCI 47B,2017 Fall
0,28,COMPSCI 47C,2017 Fall
1,20,COMPSCI 47A,2017 Spring
8,30,COMPSCI 47B,2017 Spring
1,20,COMPSCI 47C,2017 Spring
4,20,COMPSCI 47A,2018 Spring
13,30,COMPSCI 47B,2018 Spring
2,20,COMPSCI 47C,2018 Spring
13,40,COMPSCI 47A,2018 Fall
23,40,COMPSCI 47B,2018 Fall
0,40,COMPSCI 47C,2018 Fall
2,20,COMPSCI 47A,Spring 2019
19,30,COMPSCI 47B,Spring 2019
2,20,COMPSCI 47C,Spring 2019
12,40,COMPSCI 47A,2019 Fall
22,40,COMPSCI 47B,2019 Fall
1,40,COMPSCI 47C,2019 Fall
1567,1690,COMPSCI 61A,2016 Fall
595,650,COMPSCI 61B,2016 Fall
577,650,COMPSCI 61C,2016 Fall
1685,1855,COMPSCI 61A,2017 Fall
662,732,COMPSCI 61B,2017 Fall
713,732,COMPSCI 61C,2017 Fall
961,1052,COMPSCI 61A,2017 Spring
1374,1391,COMPSCI 61B,2017 Spring
518,570,COMPSCI 61C,2017 Spring
1224,1400,COMPSCI 61A,2018 Spring
1382,1450,COMPSCI 61B,2018 Spring
514,595,COMPSCI 61C,2018 Spring
1767,2000,COMPSCI 61A,2018 Fall
906,950,COMPSCI 61B,2018 Fall
935,980,COMPSCI 61C,2018 Fall
1136,1500,COMPSCI 61A,Spring 2019
1592,1660,COMPSCI 61B,Spring 2019
596,750,COMPSCI 61C,Spring 2019
1006,1100,COMPSCI 61B,2019 Fall
1091,1130,COMPSCI 61C,2019 Fall
1828,2000,COMPSCI 61A,2019 Fall
689,700,COMPSCI 70,2016 Fall
756,850,COMPSCI 70,2017 Fall
746,775,COMPSCI 70,2017 Spring
783,875,COMPSCI 70,2018 Spring
893,900,COMPSCI 70,2018 Fall
776,800,COMPSCI 70,Spring 2019
886,900,COMPSCI 70,2019 Fall
52,64,COMPSCI 88,2016 Fall
124,200,COMPSCI 88,2018 Spring
203,209,COMPSCI 88,2018 Fall
172,195,COMPSCI 88,Spring 2019
94,98,COMPSCI 88,Spring 2019
212,230,COMPSCI 88,2019 Fall
276,500,COMPSCI 98,2016 Fall
77,150,COMPSCI 98,2016 Fall
65,200,COMPSCI 98,2018 Fall
0,0,COMPSCI C100,2017 Fall
66,67,COMPSCI C100,2017 Spring
619,650,COMPSCI C100,2018 Spring
0,0,COMPSCI C100,2018 Fall
872,894,COMPSCI C100,Spring 2019
0,0,COMPSCI C100,2019 Fall
26,32,COMPSCI 152,2016 Fall
38,48,COMPSCI 152,2018 Spring
59,70,COMPSCI 152,Spring 2019
109,110,COMPSCI 160,2016 Fall
88,89,COMPSCI 160,2017 Fall
108,120,COMPSCI 160,2017 Spring
53,60,COMPSCI 160,2017 Spring
57,60,COMPSCI 160,2017 Spring
90,90,COMPSCI 160,2018 Spring
67,80,COMPSCI 160,2018 Fall
56,60,COMPSCI 160,2018 Fall
55,60,COMPSCI 160,2018 Fall
88,89,COMPSCI 160,Spring 2019
68,50,COMPSCI 160,2019 Fall
332,352,COMPSCI 161,2016 Fall
374,462,COMPSCI 161,2017 Fall
467,481,COMPSCI 161,2017 Spring
606,641,COMPSCI 161,2018 Spring
458,560,COMPSCI 161,2018 Fall
563,700,COMPSCI 161,Spring 2019
484,550,COMPSCI 161,2019 Fall
285,286,COMPSCI 162,2016 Fall
297,297,COMPSCI 162,2017 Fall
297,297,COMPSCI 162,2017 Spring
399,403,COMPSCI 162,2018 Spring
411,415,COMPSCI 162,2018 Fall
400,408,COMPSCI 162,Spring 2019
486,300,COMPSCI 162,2019 Fall
79,140,COMPSCI 164,2017 Fall
91,98,COMPSCI 164,2017 Spring
140,157,COMPSCI 164,2018 Spring
96,98,COMPSCI 164,2018 Fall
83,157,COMPSCI 164,Spring 2019
98,98,COMPSCI 164,2019 Fall
482,481,COMPSCI 168,2016 Fall
526,527,COMPSCI 168,2017 Fall
527,527,COMPSCI 168,2018 Fall
165,192,COMPSCI 169,2016 Fall
127,180,COMPSCI 169,2017 Fall
120,120,COMPSCI 169,Spring 2019
108,108,COMPSCI 169,2019 Fall
592,600,COMPSCI 170,2016 Fall
767,770,COMPSCI 170,2017 Fall
596,600,COMPSCI 170,2017 Spring
626,629,COMPSCI 170,2018 Spring
884,918,COMPSCI 170,2018 Fall
813,880,COMPSCI 170,Spring 2019
943,990,COMPSCI 170,2019 Fall
68,98,COMPSCI 172,Spring 2019
29,35,COMPSCI 174,2017 Spring
37,45,COMPSCI 174,2018 Spring
32,40,COMPSCI 174,Spring 2019
38,45,COMPSCI 174,2019 Fall
62,75,COMPSCI 176,2016 Fall
62,75,COMPSCI 176,2017 Fall
71,75,COMPSCI 176,2018 Fall
183,184,COMPSCI 182,Spring 2019
85,96,COMPSCI 184,2016 Fall
129,136,COMPSCI 184,2017 Spring
185,189,COMPSCI 184,2018 Spring
278,350,COMPSCI 184,Spring 2019
452,505,COMPSCI 186,2016 Fall
451,499,COMPSCI 186,2017 Fall
474,481,COMPSCI 186,2017 Spring
443,499,COMPSCI 186,2018 Spring
440,470,COMPSCI 186,2018 Fall
533,535,COMPSCI W186,Spring 2019
743,750,COMPSCI W186,2019 Fall
516,520,COMPSCI 188,2016 Fall
603,750,COMPSCI 188,2017 Fall
406,408,COMPSCI 188,2017 Spring
697,730,COMPSCI 188,2018 Spring
740,850,COMPSCI 188,2018 Fall
801,831,COMPSCI 188,Spring 2019
741,744,COMPSCI 188,2019 Fall
307,353,COMPSCI 189,2016 Fall
276,374,COMPSCI 189,2017 Fall
471,500,COMPSCI 189,2017 Spring
319,368,COMPSCI 189,2018 Spring
215,244,COMPSCI 189,2018 Fall
682,681,COMPSCI 189,Spring 2019
254,387,COMPSCI 189,2019 Fall
0,1,COMPSCI 189,Spring 2019
57,90,COMPSCI C191,2017 Spring
0,0,COMPSCI C191,Spring 2019
16,16,COMPSCI 194,2016 Fall
9,30,COMPSCI 194,2016 Fall
109,116,COMPSCI 194,2018 Spring
12,20,COMPSCI 194,2017 Spring
11,20,COMPSCI 194,2017 Spring
84,92,COMPSCI 194,2017 Fall
37,40,COMPSCI 194,2016 Fall
95,95,COMPSCI 194,2016 Fall
141,141,COMPSCI 194,2017 Fall
157,157,COMPSCI 194,2018 Fall
16,30,COMPSCI 194,2018 Spring
18,25,COMPSCI 194,Spring 2019
21,22,COMPSCI 194,2017 Spring
0,60,COMPSCI 194,2017 Fall
30,40,COMPSCI 194,2018 Fall
29,35,COMPSCI 194,2017 Fall
38,45,COMPSCI 194,Spring 2019
90,98,COMPSCI 194,2019 Fall
224,237,COMPSCI 195,2016 Fall
291,320,COMPSCI 195,2017 Fall
215,250,COMPSCI 195,2017 Spring
233,250,COMPSCI 195,2018 Spring
249,250,COMPSCI 195,2018 Fall
352,408,COMPSCI 195,Spring 2019
246,292,COMPSCI 195,2019 Fall
1,999,COMPSCI H196A,2016 Fall
1,999,COMPSCI H196A,2016 Fall
7,999,COMPSCI 197,2016 Fall
16,200,COMPSCI 197,2018 Fall
4,50,COMPSCI 197,Spring 2019
10,250,COMPSCI 197,Spring 2019
83,98,COMPSCI 198,2016 Fall
9,24,COMPSCI 198,2016 Fall
24,30,COMPSCI 198,2016 Fall
62,98,COMPSCI 198,2017 Fall
9,24,COMPSCI 198,2017 Fall
15,30,COMPSCI 198,2017 Fall
73,90,COMPSCI 198,2017 Spring
8,24,COMPSCI 198,2017 Spring
19,49,COMPSCI 198,2017 Spring
35,40,COMPSCI 198,2017 Fall
13,24,COMPSCI 198,2018 Spring
78,65,COMPSCI 198,2018 Spring
25,40,COMPSCI 198,2018 Spring
71,80,COMPSCI 198,2018 Fall
17,24,COMPSCI 198,2018 Fall
72,80,COMPSCI 198,2018 Fall
17,40,COMPSCI 198,2018 Fall
58,80,COMPSCI 198,Spring 2019
20,40,COMPSCI 198,Spring 2019
21,24,COMPSCI 198,Spring 2019
24,24,COMPSCI 198,2019 Fall
76,80,COMPSCI 198,2019 Fall
17,35,COMPSCI 198,2019 Fall
27,98,COMPSCI 198,2017 Spring
1,30,COMPSCI 198,2017 Spring
19,30,COMPSCI 198,2016 Fall
28,49,COMPSCI 198,2017 Spring
24,30,COMPSCI 198,2017 Fall
30,40,COMPSCI 198,2018 Spring
21,40,COMPSCI 198,Spring 2019
24,35,COMPSCI 198,2019 Fall
0,35,COMPSCI 198,2018 Fall
96,98,COMPSCI 198,2016 Fall
75,98,COMPSCI 198,2018 Spring
