num_people_enrolled,total_class_size,class_number,term,professor
70 , 283,16000,2014 Spring,"DANG, Q."
14 , 208,16300,2014 Spring,"PATTIS, R."
27 , 327,16350,2014 Spring,"THORNTON, A."
44 , 339,16400,2014 Spring,"PATTIS, R."
16 , 141,16420,2014 Spring,"THORNTON, A.JIA, J."
27 , 155,16450,2014 Spring,"JAFAR, S.STAFF"
16 , 96,16500,2014 Spring,"BURKE, P."
9 , 50,16540,2014 Spring,"ELTAWIL, A."
7 , 128,16610,2014 Spring,"ALFARO, S."
14 , 178,16640,2014 Spring,"XU, G."
18 , 106,16800,2014 Spring,"GIVARGIS, T."
12 , 24,16880,2014 Spring,"BOZORGZADEH, E."
86,98,34050,2014 Spring,"MAJUMDER, A."
119 , 136,34200,2014 Spring,"CAREY, M."
96 , 117,34300,2014 Spring,"JORDAN, S."
100 , 128,34400,2014 Spring,"ALFARO, S."
160 , 178,34450,2014 Spring,"XU, G."
96,100,34500,2014 Spring,"ALFARO, S."
98,100,34520,2014 Spring,"BIC, L.NAKAYAMA, K."
85 , 106,34550,2014 Spring,"GIVARGIS, T."
35,52,34590,2014 Spring,"VEIDENBAUM, A."
70,77,34610,2014 Spring,"EPPSTEIN, D.BANNISTER, M."
49,50,34620,2014 Spring,"HIRSCHBERG, D."
0,15,34700,2014 Spring,"MJOLSNESS, E."
0,30,34765,2014 Spring,"ZIV, H."
22 , 46,34770,2014 Spring,"FIACCO, E."
5,10,34775,2014 Spring,"CAREY, M."
4 , 13,34780,2014 Spring,"DOBRIAN, J."
29,30,35215,2014 Spring,"XIE, X."
23,50,35235,2014 Spring,"FOWLKES, C."
17,50,35240,2014 Spring,"MEHROTRA, S."
25 , 37,35245,2014 Spring,"VENKATASUBRAMA, N."
21 , 31,35250,2014 Spring,"VENKATASUBRAMA, N."
27,30,35252,2014 Spring,"SCHERSON, I."
51,58,35255,2014 Spring,"GIVARGIS, T."
8 , 30,35260,2014 Spring,"TOMLINSON, W."
22,50,35262,2014 Spring,"VEIDENBAUM, A."
63,63,35270,2014 Spring,"DILLENCOURT, M."
10,30,35273,2014 Spring,"EPPSTEIN, D."
12,15,35274,2014 Spring,"EPPSTEIN, D."
7,20,35275,2014 Spring,"EPPSTEIN, D."
21,50,35290,2014 Spring,"IHLER, A."
9,30,35300,2014 Spring,"DECHTER, R."
4,15,35330,2014 Spring,"MJOLSNESS, E."
2 , 11,35340,2014 Spring,"XIE, X."
10,30,35560,2014 Spring,"DUTT, N."
10,15,35562,2014 Spring,"CAREY, M."
14,30,35564,2014 Spring,"SCHERSON, I."
2 , 283,36000,2014 Spring,"DANG, Q."
3 , 208,36050,2014 Spring,"PATTIS, R."
3 , 327,36100,2014 Spring,"THORNTON, A."
2 , 339,36150,2014 Spring,"PATTIS, R."
1 , 141,36170,2014 Spring,"THORNTON, A.JIA, J."
0 , 155,36200,2014 Spring,"JAFAR, S.STAFF"
1 , 96,36250,2014 Spring,"BURKE, P."
1 , 50,36280,2014 Spring,"ELTAWIL, A."
1 , 128,36320,2014 Spring,"ALFARO, S."
4 , 178,36360,2014 Spring,"XU, G."
3 , 106,36400,2014 Spring,"GIVARGIS, T."
12 , 24,36480,2014 Spring,"BOZORGZADEH, E."
31 , 366,16080,2014 Winter,"KAY, D."
66 , 450,16100,2014 Winter,"THORNTON, A."
8 , 100,16130,2014 Winter,"PATTIS, R."
25 , 202,16140,2014 Winter,"THORNTON, A."
8 , 140,16150,2014 Winter,"PATTIS, R."
24 , 172,16170,2014 Winter,"DE FLAVIIS, F.STAFF"
36 , 42,16200,2014 Winter,"REGAN, A."
21 , 79,16270,2014 Winter,"BAGHERZADEH, N."
21 , 52,16290,2014 Winter,"SWINDLEHURST, A."
10 , 59,16310,2014 Winter,"XU, G."
9 , 95,16340,2014 Winter,"GOODRICH, M."
15 , 25,16360,2014 Winter,"BACHMAN, M.STAFF"
70 , 92,34100,2014 Winter,"FROST, D."
38,50,34110,2014 Winter,"FOWLKES, C."
43 , 82,34120,2014 Winter,"PATTERSON, D."
85 , 104,34130,2014 Winter,"SHEU, P."
103,110,34140,2014 Winter,"ESMAELNEZHAD, J."
6,31,34150,2014 Winter,"CAREY, M."
23,30,34160,2014 Winter,"VEIDENBAUM, A."
42,50,34170,2014 Winter,"EL ZARKI, M."
27,55,34180,2014 Winter,"TSUDIK, G."
40 , 59,34190,2014 Winter,"XU, G."
79,75,34210,2014 Winter,"VENKATASUBRAMA, N."
129,130,34230,2014 Winter,"SCHERSON, I."
86 , 95,34250,2014 Winter,"GOODRICH, M."
82 , 82,34260,2014 Winter,"GOODRICH, M."
69,130,34280,2014 Winter,"LATHROP, R."
49,60,34300,2014 Winter,"IHLER, A."
0,30,34320,2014 Winter,"ZIV, H."
19 , 27,34810,2014 Winter,"TSUDIK, G."
16,30,34820,2014 Winter,"MEENAKSHISUNDA, G."
83 , 99,34840,2014 Winter,"LOPES, C."
51,79,34850,2014 Winter,"CAREY, M."
35,55,34870,2014 Winter,"SCHERSON, I."
19,40,34890,2014 Winter,"FRANZ, M."
49 , 50,34900,2014 Winter,"BOZORGZADEH, E."
12 , 27,34920,2014 Winter,"LOPES, C."
47,60,34930,2014 Winter,"DILLENCOURT, M."
8,30,34950,2014 Winter,"GOODRICH, M."
25,60,34960,2014 Winter,"SMYTH, P."
45,70,34980,2014 Winter,"SMYTH, P."
0 , 366,36080,2014 Winter,"KAY, D."
5 , 450,36100,2014 Winter,"THORNTON, A."
1 , 100,36130,2014 Winter,"PATTIS, R."
5 , 202,36140,2014 Winter,"THORNTON, A."
2 , 140,36150,2014 Winter,"PATTIS, R."
0 , 172,36170,2014 Winter,"DE FLAVIIS, F.STAFF"
6 , 42,36200,2014 Winter,"REGAN, A."
3 , 79,36270,2014 Winter,"BAGHERZADEH, N."
7 , 52,36290,2014 Winter,"SWINDLEHURST, A."
2 , 59,36310,2014 Winter,"XU, G."
0 , 95,36340,2014 Winter,"GOODRICH, M."
10 , 25,36360,2014 Winter,"BACHMAN, M.STAFF"
23 , 327,16080,2013 Winter,"KAY, D."
20 , 173,16100,2013 Winter,"THORNTON, A."
9 , 111,16130,2013 Winter,"PATTIS, R."
13 , 98,16140,2013 Winter,"THORNTON, A."
10 , 159,16150,2013 Winter,"PATTIS, R."
22 , 170,16170,2013 Winter,"DE FLAVIIS, F.STAFF"
30 , 35,16200,2013 Winter,"REGAN, A."
20 , 79,16270,2013 Winter,"BAGHERZADEH, N."
5 , 6,16280,2013 Winter,"ELTAWIL, A."
24 , 56,16290,2013 Winter,"SWINDLEHURST, A."
9 , 52,16310,2013 Winter,"XU, G."
7 , 75,16340,2013 Winter,"GOODRICH, M."
14 , 24,16360,2013 Winter,"BACHMAN, M.STAFF"
58 , 75,34100,2013 Winter,"FROST, D."
35,50,34110,2013 Winter,"FOWLKES, C."
39 , 75,34120,2013 Winter,"PATTERSON, D."
58 , 75,34130,2013 Winter,"SHEU, P."
110,110,34140,2013 Winter,"ESMAELNEZHAD, J."
5,35,34150,2013 Winter,"CAREY, M."
15,50,34160,2013 Winter,"VEIDENBAUM, A."
50,50,34170,2013 Winter,"EL ZARKI, M."
36,55,34180,2013 Winter,"TSUDIK, G."
33 , 52,34190,2013 Winter,"XU, G."
73,75,34210,2013 Winter,"VENKATASUBRAMA, N."
128,130,34230,2013 Winter,"SCHERSON, I."
68 , 75,34250,2013 Winter,"GOODRICH, M."
66 , 66,34260,2013 Winter,"GOODRICH, M."
65,130,34280,2013 Winter,"LATHROP, R."
45,65,34300,2013 Winter,"IHLER, A."
0,30,34320,2013 Winter,"ZIV, H."
36 , 40,34810,2013 Winter,"TSUDIK, G."
13,30,34820,2013 Winter,"MEENAKSHISUNDA, G."
79 , 100,34840,2013 Winter,"LOPES, C."
69,75,34850,2013 Winter,"CAREY, M."
39,55,34870,2013 Winter,"SCHERSON, I."
21,40,34890,2013 Winter,"FRANZ, M."
45 , 49,34900,2013 Winter,"BOZORGZADEH, E."
22 , 39,34920,2013 Winter,"LOPES, C."
60,60,34930,2013 Winter,"DILLENCOURT, M."
5,30,34950,2013 Winter,"GOODRICH, M."
33,60,34960,2013 Winter,"SMYTH, P."
60,60,34980,2013 Winter,"SMYTH, P."
3 , 327,36080,2013 Winter,"KAY, D."
0 , 173,36100,2013 Winter,"THORNTON, A."
1 , 111,36130,2013 Winter,"PATTIS, R."
2 , 98,36140,2013 Winter,"THORNTON, A."
2 , 159,36150,2013 Winter,"PATTIS, R."
1 , 170,36170,2013 Winter,"DE FLAVIIS, F.STAFF"
5 , 35,36200,2013 Winter,"REGAN, A."
2 , 79,36270,2013 Winter,"BAGHERZADEH, N."
1 , 6,36280,2013 Winter,"ELTAWIL, A."
6 , 56,36290,2013 Winter,"SWINDLEHURST, A."
3 , 52,36310,2013 Winter,"XU, G."
0 , 75,36340,2013 Winter,"GOODRICH, M."
10 , 24,36360,2013 Winter,"BACHMAN, M.STAFF"
15 , 107,16050,2013 Fall,"DANG, Q."
34 , 300,16100,2013 Fall,"KAY, D."
40 , 301,,2013 Fall,
11 , 135,16130,2013 Fall,"THORNTON, A."
6 , 106,16140,2013 Fall,"PATTIS, R."
18 , 299,16160,2013 Fall,"THORNTON, A."
24 , 27,16200,2013 Fall,"LEE, H."
23 , 84,16240,2013 Fall,"HEALEY, G."
15 , 177,16320,2013 Fall,"EPPSTEIN, D."
19 , 25,16330,2013 Fall,"BACHMAN, M."
32,50,34050,2013 Fall,"FOWLKES, C."
129 , 142,34080,2013 Fall,"SHEU, P."
114 , 152,34130,2013 Fall,"MARKOPOULOU, A."
138,140,34250,2013 Fall,"HARRIS, I."
159 , 177,34300,2013 Fall,"EPPSTEIN, D."
56,56,34320,2013 Fall,"REGAN, A."
122,131,34350,2013 Fall,"LATHROP, R."
49,52,34390,2013 Fall,"MJOLSNESS, E."
3 , 20,34397,2013 Fall,"LUO, R."
0,10,34400,2013 Fall,"XIE, X."
22,30,35202,2013 Fall,"JARECKI, S."
32,53,35205,2013 Fall,"MEENAKSHISUNDA, G."
54 , 106,35230,2013 Fall,"LEVORATO, M."
51,80,35300,2013 Fall,"NICOLAU, A."
44,50,35320,2013 Fall,"HIRSCHBERG, D."
39,53,35330,2013 Fall,"REGAN, A."
6,30,35347,2013 Fall,"IRANI, S."
44,52,35350,2013 Fall,"KASK, K."
98,103,35360,2013 Fall,"IHLER, A."
13,20,35370,2013 Fall,"XIE, X."
20,30,35550,2013 Fall,"XU, G."
5,20,35560,2013 Fall,"DECHTER, R."
0 , 107,36050,2013 Fall,"DANG, Q."
10 , 300,36100,2013 Fall,"KAY, D."
10 , 301,,2013 Fall,
1 , 135,36150,2013 Fall,"THORNTON, A."
0 , 106,36170,2013 Fall,"PATTIS, R."
6 , 299,36200,2013 Fall,"THORNTON, A."
3 , 27,36300,2013 Fall,"LEE, H."
