num_people_enrolled,total_class_size,class_number,term,professor
2,26,100,spr2008,"Fayek,Abdel-Moaty M"
15,49,101,spr2008,"Herring,Brian D"
9,23,101,spr2008,"Herring,Brian D"
25,0,110,spr2008, 
7,18,111,spr2008,"Colbert,Phillip D"
5,20,111,spr2008,"Colbert,Phillip D"
4,21,112,spr2008,"Henry,Tyson R"
13,12,112,spr2008,"Henry,Tyson R"
16,10,118,spr2008,"Holcombe,Lori G"
8,22,144,spr2008,"Simmons,Michael G"
8,7,221,spr2008,"Challinger,Judith A"
4,26,301,spr2008,"Fisk Jr,Leonard W"
0,12,305,spr2008,"Hubbard,Susan K"
10,0,305,spr2008, 
1,19,311,spr2008,"Stapleton,Melody J"
2,11,313H,spr2008,"Oppy,Brian J"
14,16,330,spr2008,"Fisk Jr,Leonard W"
18,12,340,spr2008,"Renner,Renee S"
25,0,346,spr2008, 
5,25,381,spr2008,"Renner,Renee S"
0,1,399,spr2008,"Juliano,Benjoe A"
20,0,470,spr2008, 
4,1,490,spr2008,"Renner,Renee S"
4,1,490,spr2008,"Challinger,Judith A"
4,1,490,spr2008,"Fisk Jr,Leonard W"
5,19,498,spr2008,"Fayek,Abdel-Moaty M"
10,20,548,spr2008,"Fisk Jr,Leonard W"
15,14,570,spr2008,"Stapleton,Melody J"
25,0,611,spr2008, 
1,29,640,spr2008,"Henry,Tyson R"
13,12,679,spr2008,"Stapleton,Melody J"
24,0,697,spr2008, 
0,3,699P,spr2008,"Henry,Tyson R"
2,26,100,spr2008,"Fayek,Abdel-Moaty M"
6,26,101,spr2008,"Herring,Brian D"
25,0,110,spr2008, 
14,61,111,spr2008,"Colbert,Phillip D"
2,23,111,spr2008,"Colbert,Phillip D"
27,48,112,spr2008,"Henry,Tyson R"
10,15,112,spr2008,"Henry,Tyson R"
21,5,117,spr2008,"Holcombe,Lori G"
8,22,144,spr2008,"Simmons,Michael G"
16,14,221,spr2008,"Challinger,Judith A"
8,7,221,spr2008,"Challinger,Judith A"
6,28,305,spr2008,"Hubbard,Susan K"
0,16,305,spr2008,"Hubbard,Susan K"
25,35,311,spr2008,"Stapleton,Melody J"
4,16,311,spr2008,"Stapleton,Melody J"
1,29,320,spr2008,"Im,Seung Bae"
18,12,340,spr2008,"Renner,Renee S"
25,0,346,spr2008, 
17,13,380,spr2008,"Fisk Jr,Leonard W"
5,25,381,spr2008,"Renner,Renee S"
2,28,465,spr2008,"Challinger,Judith A"
1,0,490,spr2008,"Renner,Renee S"
0,5,490,spr2008,"Henry,Tyson R"
3,2,490,spr2008,"Fisk Jr,Leonard W"
2,3,490,spr2008,"Juliano,Benjoe A"
6,24,515,spr2008,"Henry,Tyson R"
10,15,550,spr2008,"Juliano,Benjoe A"
15,14,570,spr2008,"Stapleton,Melody J"
