,term,class_number,num_people_enrolled,total_class_size,Prof Name
0,Fall 2005,CSC 203 [01 ],19,30,Katarina Dujmovic
1,Fall 2005,CSC 210 [01 ],29,40,Katarina Dujmovic
2,Fall 2005,CSC 210 [02 ],58,75,Katarina Dujmovic
3,Fall 2005,CSC 211 [01 ],24,45,Chin Wong
4,Fall 2005,CSC 212 [01 ],55,75,Daniel Tomasevich
5,Fall 2005,CSC 213 [01 ],41,43,Andrew Swan
6,Fall 2005,CSC 214 [01 ],20,40,Daniel Tomasevich
7,Fall 2005,CSC 305 [01 ],42,75,Daniel Tomasevich
8,Fall 2005,CSC 310 [01 ],61,75,Yonggang Zhao
9,Fall 2005,CSC 313 [01 ],27,40,Chin Wong
10,Fall 2005,CSC 313 [02 ],25,40,Chin Wong
11,Fall 2005,CSC 413 [01 ],21,40,Barry Levine
12,Fall 2005,CSC 413 [02 ],35,40,Barry Levine
13,Fall 2005,CSC 415 [01 ],43,40,Andrew Swan
14,Fall 2005,CSC 510 [01 ],53,75,Robert Wall
15,Fall 2005,CSC 520 [01 ],47,40,Robert Wall
16,Fall 2005,CSC 600 [01 ],24,40,Jozo Dujmovic
17,Fall 2005,CSC 600 [02 ],29,40,Jozo Dujmovic
18,Fall 2005,CSC 615 [01 ],11,30,Marguerite Murphy
19,Fall 2005,CSC 630 [01 ],26,35,Ilmi Yoon
20,Fall 2005,CSC 640 [01 ],28,25,Dragutin Petkovic
21,Fall 2005,CSC 641 [01 ],10,20,Jozo Dujmovic
22,Fall 2005,CSC 650 [01 ],38,35,Stanley Osborne
23,Fall 2005,CSC 664 [01 ],13,20,Rahul Singh
24,Fall 2005,CSC 668 [01 ],5,20,Barry Levine
25,Fall 2005,CSC 675 [01 ],15,20,Marguerite Murphy
26,Fall 2005,CSC 693 [01 ],0,25,Dragutin Petkovic
27,Fall 2005,CSC 693 [02 ],0,25,Dragutin Petkovic
28,Fall 2005,CSC 694 [01 ],1,10,Dragutin Petkovic
29,Fall 2005,CSC 694 [02 ],0,10,Dragutin Petkovic
30,Fall 2005,CSC 694 [03 ],1,10,Dragutin Petkovic
31,Fall 2005,CSC 695 [01 ],3,25,Barry Levine
32,Fall 2005,CSC 697 [01 ],0,0,To be announced
33,Fall 2005,CSC 699 [01 ],0,0,To be announced
34,Fall 2005,CSC 699 [02 ],0,0,To be announced
35,Fall 2005,CSC 699 [03 ],0,0,To be announced
36,Fall 2005,CSC 730 [01 ],23,30,Marguerite Murphy
37,Fall 2005,CSC 775 [01 ],6,15,Marguerite Murphy
38,Fall 2005,CSC 810 [01 ],27,30,Chin Wong
39,Fall 2005,CSC 835 [01 ],24,25,Arno Puder
40,Fall 2005,CSC 841 [01 ],11,15,Jozo Dujmovic
41,Fall 2005,CSC 848 [01 ],29,15,Dragutin Petkovic
42,Fall 2005,CSC 858 [01 ],14,30,Michael Goldman
43,Fall 2005,CSC 864 [01 ],18,15,Rahul Singh
44,Fall 2005,CSC 868 [01 ],9,15,Barry Levine
45,Fall 2005,CSC 870 [01 ],14,20,Rahul Singh
46,Fall 2005,CSC 893 [01 ],1,30,Dragutin Petkovic
47,Fall 2005,CSC 895 [01 ],0,0,To be announced
48,Fall 2005,CSC 897 [01 ],0,0,To be announced
49,Fall 2005,CSC 897 [02 ],0,0,To be announced
50,Fall 2005,CSC 897 [03 ],0,0,To be announced
51,Fall 2005,CSC 897 [04 ],0,0,To be announced
52,Fall 2005,CSC 898 [01 ],0,0,To be announced
53,Fall 2005,CSC 899 [01 ],0,0,To be announced
54,Fall 2005,CSC 899 [02 ],0,0,To be announced
55,Fall 2005,CSC 899 [03 ],1,0,To be announced
56,Fall 2005,CSC 897 [03 ],0,0,To be announced
57,Fall 2005,CSC 897 [04 ],0,0,To be announced
58,Fall 2005,CSC 898 [01 ],0,0,To be announced
59,Fall 2005,CSC 899 [01 ],0,0,To be announced
60,Fall 2005,CSC 899 [02 ],0,0,To be announced
61,Fall 2005,CSC 899 [03 ],1,0,To be announced
62,Fall 2005,CSC 897 [03 ],0,0,To be announced
63,Fall 2005,CSC 897 [04 ],0,0,To be announced
64,Fall 2005,CSC 898 [01 ],0,0,To be announced
65,Fall 2005,CSC 899 [01 ],0,0,To be announced
66,Fall 2005,CSC 899 [02 ],0,0,To be announced
67,Fall 2005,CSC 899 [03 ],1,0,To be announced
68,Fall 2005,CSC 897 [03 ],0,0,To be announced
69,Fall 2005,CSC 897 [04 ],0,0,To be announced
70,Fall 2005,CSC 898 [01 ],0,0,To be announced
71,Fall 2005,CSC 899 [01 ],0,0,To be announced
72,Fall 2005,CSC 899 [02 ],0,0,To be announced
73,Fall 2005,CSC 899 [03 ],1,0,To be announced
74,Spring 2006,CSC 202 [01 ],15,50,Edward Lank
75,Spring 2006,CSC 203 [01 ],24,30,Katarina Dujmovic
76,Spring 2006,CSC 205 [01 ],43,50,Lawrence Kroll
77,Spring 2006,CSC 210 [01 ],48,50,Lawrence Kroll
78,Spring 2006,CSC 210 [02 ],27,40,Katarina Dujmovic
79,Spring 2006,CSC 210 [03 ],22,40,Katarina Dujmovic
80,Spring 2006,CSC 211 [01 ],15,35,Chin Wong
81,Spring 2006,CSC 212 [01 ],43,60,Daniel Tomasevich
82,Spring 2006,CSC 213 [01 ],45,40,Andrew Swan
83,Spring 2006,CSC 305 [01 ],38,60,Daniel Tomasevich
84,Spring 2006,CSC 310 [01 ],33,75,Yonggang Zhao
85,Spring 2006,CSC 313 [01 ],17,30,Chin Wong
86,Spring 2006,CSC 313 [02 ],27,30,Chin Wong
87,Spring 2006,CSC 413 [01 ],47,40,Barry Levine
88,Spring 2006,CSC 415 [01 ],46,40,Andrew Swan
89,Spring 2006,CSC 510 [01 ],39,40,Robert Wall
90,Spring 2006,CSC 520 [01 ],39,35,Robert Wall
91,Spring 2006,CSC 600 [01 ],25,30,Jozo Dujmovic
92,Spring 2006,CSC 600 [02 ],25,30,Jozo Dujmovic
93,Spring 2006,CSC 630 [01 ],31,35,Lawrence Kroll
94,Spring 2006,CSC 639 [01 ],14,20,Sam Gill
95,Spring 2006,CSC 645 [01 ],17,35,Marguerite Murphy
96,Spring 2006,CSC 650 [01 ],38,35,Stanley Osborne
97,Spring 2006,CSC 656 [01 ],16,45,Mark Johnson
98,Spring 2006,CSC 667 [01 ],30,23,Ilmi Yoon
99,Spring 2006,CSC 668 [01 ],4,20,Barry Levine
100,Spring 2006,CSC 693 [01 ],0,25,Dragutin Petkovic
101,Spring 2006,CSC 693 [02 ],0,25,Dragutin Petkovic
102,Spring 2006,CSC 694 [01 ],0,15,Dragutin Petkovic
103,Spring 2006,CSC 694 [02 ],0,15,Dragutin Petkovic
104,Spring 2006,CSC 694 [03 ],0,15,Dragutin Petkovic
105,Spring 2006,CSC 695 [01 ],2,35,Barry Levine
106,Spring 2006,CSC 697 [01 ],0,15,To be announced
