num_people_enrolled,total_class_size,class_number,term,professor
180,300,2,FALL 205,"Franca,P.B.Southwood,C.F.Khosmood,F.Wang,O."
143,156,10,FALL 205,"Abadi,M.Chakraborty,S.Hullett,K.M.Tantalo,P.Fitzpatrick,D.M."
66,85,12A,FALL 205,"McDowell,C.E.Hagen,J.M."
23,85,12B,FALL 205,"Johnson,J.M.Mackey,W.F."
57,64,60G,FALL 205,"Franca,P.B.Lee,M.C."
0,0,60N,FALL 205,Staff
19,50,80V,FALL 205,"Pang,A.Gwack,Y.G."
37,75,101,FALL 205,"Tantalo,P."
21,75,102,FALL 205,"Brown,L.Warmuth,M."
34,75,104A,FALL 205,"Mackey,W.F.Keller,D.J."
5,25,105,FALL 205,"Bailey,D.D."
7,45,109,FALL 205,"Bailey,D.D."
24,45,111,FALL 205,"Kaldewey,T.Brandt,S.A."
37,75,130,FALL 205,"Levinson,R.A.Scher,S.J."
17,50,160,FALL 205,"Smith,A.M.Davis,J.E."
32,60,180,FALL 205,"Wang,Y.L.Polyzotis,N."
6,10,190X,FALL 205,"Yellin,J."
0,999,193,FALL 205,Staff
0,999,194,FALL 205,Staff
0,999,195,FALL 205,Staff
0,999,198,FALL 205,Staff
40,40,200,FALL 205,"Crabb,R.E.Brandt,S.A."
30,45,201,FALL 205,Van
27,45,203,FALL 205,"Gronski,J.Y.Flanagan,C.A."
12,15,221,FALL 205,"Miller,E.L."
18,10,242,FALL 205,"Helmbold,D.P."
3,15,277,FALL 205,"Tan,W."
4,25,280A,FALL 205,"Tan,W."
11,25,280S,FALL 205,"Miller,E.L."
11,10,290B,FALL 205,"Davis,J.E."
0,999,296,FALL 205,Staff
0,999,299,FALL 205,Staff
124,200,2,FALL 206,"Finger,J.E.Franca,P.B.Sun,C."
184,179,10,FALL 206,"Pye,I.G.Tantalo,P.Bigelow,D.O."
87,100,12A,FALL 206,"McDowell,C.E."
58,90,60G,FALL 206,"Franca,P.B.Pineiro,R.C."
26,50,80B,FALL 206,"Levinson,R.A."
16,100,80J,FALL 206,"Lodha,S.K."
36,40,101,FALL 206,"Tantalo,P.Yi,J."
29,45,102,FALL 206,"Achlioptas,D.Wacha,R."
34,35,104A,FALL 206,"Mackey,W.F.Hagen,J.M."
14,40,111,FALL 206,"Mackey,W.F."
30,40,130,FALL 206,"Bailey,D.D."
24,40,160,FALL 206,"Davis,J.E."
7,15,190X,FALL 206,"Yellin,J."
1,999,193,FALL 206,Staff
0,999,193,FALL 206,Staff
